Area,Nodo chiave,Principio non negoziabile,Criterio pastorale prioritario,Errore da evitare
Sacramenti,Sacramenti (in genere),I sacramenti sono azioni di Cristo che donano realmente la grazia,"Presentarli come dono e incontro, non come pratica sociale",Ridurre i sacramenti a riti simbolici o tradizionali
Sacramenti,Battesimo,Il Battesimo è dono gratuito che inaugura la vita cristiana,Accompagnare senza banalizzare la richiesta,Trattarlo come rito culturale
Sacramenti,Eucaristia,L’Eucaristia è presenza reale e sacrificio di Cristo,"Favorire fede, adorazione e comunione ecclesiale",Ridurla a gesto comunitario
Sacramenti,Confessione,La Confessione è incontro reale con la misericordia che perdona il peccato,Favorire fiducia e verità senza paura,Ridurre la Confessione a sfogo psicologico
Sacramenti,Penitenza e Comunione,La comunione eucaristica richiede coerenza con lo stato di vita,Spiegare il legame tra vita e sacramento,Separare sacramenti e vita
Sacramenti,Unzione degli infermi,L’Unzione è sacramento di consolazione e speranza,Proporla come aiuto nella prova,Ridurla a rito di morte
Sacramenti,Matrimonio,Il Matrimonio è vincolo sacramentale indissolubile,Custodire il vincolo come bene,Ridurlo a sentimento revocabile
Sacramenti,Ordine sacro,Il sacerdozio è servizio e mediazione sacramentale,Presentare l’autorità come servizio,Ridurlo a funzione sociale
Morale,Soggetto morale,La persona è libera e responsabile dei propri atti,Valutare atti senza giudicare la persona,Identificare persona e peccato
Morale,Atto umano,"La moralità dipende da oggetto, intenzione e circostanze",Offrire discernimento integrale,Giustificare il male con l’intenzione
Morale,Coscienza,"La coscienza riconosce il bene, non lo crea",Formare la coscienza alla verità,Assolutizzare il soggettivismo
Morale,Legge morale,La legge orienta la libertà al bene,Presentarla come guida alla vita,Viverla come imposizione
Morale,Gradualità,"La gradualità riguarda il cammino, non la legge",Accompagnare per tappe,Introdurre una gradualità della legge
Morale,Peccato,Il peccato ferisce la relazione con Dio e con gli altri,Unire verità e misericordia,Banalizzare o colpevolizzare
Morale,Grazia,La grazia rende possibile la vita morale,Rafforzare fiducia in Dio,Proporre una morale autosufficiente
Matrimonio,Vincolo,Il vincolo matrimoniale è reale e giuridico,Custodire la pastorale del vincolo,Sostituirla con la pastorale dell’eccezione
Matrimonio,Misericordia e giustizia,La misericordia compie la giustizia,Tenere unite verità e carità,Opporle tra loro
Matrimonio,Divorziati risposati,Rimangono membri della Chiesa ma in comunione non piena,Integrare senza equiparare,Escludere o normalizzare
Matrimonio,Discernimento,Il discernimento mira alla conversione possibile,Accompagnare senza automatismi,Giustificare lo status quo
Matrimonio,Accesso ai sacramenti,Non è punizione ma questione di comunione oggettiva,Spiegare con chiarezza e rispetto,Giudicare la coscienza
Matrimonio,Continenza,La continenza è traguardo coerente col vincolo,Proporla con realismo e speranza,Eliminarla come possibilità
Matrimonio,Integrazione,Integrare non significa equiparare,Favorire partecipazione prudente,Confondere integrazione e piena regolarità
Ecclesiologia,Chiesa,La Chiesa è comunione e istituzione insieme,Tenere unite dimensione spirituale e visibile,Opporre carisma e istituzione
Ecclesiologia,Gerarchia,L’autorità è servizio alla comunione,Presentarla come custodia dell’unità,Descriverla come potere
Ecclesiologia,Magistero,Il Magistero è servizio alla verità,Proporlo come guida,Relativizzarlo
Ecclesiologia,Primato di Pietro,Il primato serve l’unità della Chiesa,Evitare polarizzazioni,Papolatria o delegittimazione
Pastorale,Fragilità,Ogni persona è chiamata alla santità,Non scoraggiare il cammino,Normalizzare il disordine
Pastorale,Esame di coscienza,È atto di verità davanti a Dio,Orientare alla misericordia,Generare scrupolosità
Pastorale,Malattia,La sofferenza non è punizione,Accompagnare con speranza,Spiritualizzare il dolore
Pastorale,Morte,"La morte è passaggio, non fine",Offrire speranza cristiana,Negare o banalizzare
Pastorale,Eutanasia,La vita è indisponibile,Distinguere cura e soppressione,Confondere eutanasia e cure palliative
Pastorale,Denaro,"È mezzo, non fine",Educare al distacco,Idolatrarlo
Pastorale,Politica,È servizio al bene comune,Promuovere impegno responsabile,Confondere Chiesa e partito
Pastorale,Religioni non cristiane,Cristo è l’unico Salvatore,Dialogare senza relativismo,Equiparare le religioni